TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SHUL3;27,31;2,12;35,74;6,38;3,26;22,44;10,96;14,43;47,06;24,32;-0,65;-0,09;5,16;8,36;-9,08;2,56;17,86;9,13;8,48;0,51;0,49;0,63;13,02;14,00;;4,28;0,76;14,32;5.179.121.723,72
SHUL4;4,93;12,76;6,45;1,15;0,59;22,44;10,96;14,43;8,50;24,32;-0,65;-0,09;0,93;1,51;-1,64;2,56;17,86;9,13;8,48;0,51;0,49;0,63;13,02;14,00;3.046.360,90;4,28;0,76;2,59;5.179.121.723,72
SIMH3;8,92;;-58,39;1,22;0,06;26,35;18,52;-0,20;0,64;6,16;5,52;10,59;0,12;0,74;-0,09;1,30;-2,10;-0,10;11,98;0,05;0,92;0,49;34,72;;26.223.003,24;7,29;-0,15;0,94;5.207.132.875,72
SLCE3;15,50;5,84;23,86;1,45;0,39;29,16;16,38;3,38;4,92;8,96;4,04;1,19;0,81;1,67;-0,68;2,20;6,10;1,64;11,68;0,27;0,70;0,48;20,30;-7,89;46.664.025,19;10,66;0,65;-0,39;7.730.561.915,00
SLED3;3,21;;0,45;-0,08;0,48;47,85;73,94;92,71;0,56;0,95;0,65;;0,42;-0,20;-0,72;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,02;16.497.692,59
SLED4;1,60;;0,22;-0,04;0,24;47,85;73,94;92,71;0,28;0,95;0,65;;0,21;-0,10;-0,36;0,12;-18,07;107,04;-15,91;-5,92;6,92;1,15;-45,03;;;-39,57;7,15;-0,01;16.497.692,59
SMFT3;18,53;5,62;16,54;1,93;0,50;42,93;23,71;9,00;6,28;8,54;2,26;0,69;1,49;4,51;-0,69;1,72;11,65;3,05;12,29;0,26;0,74;0,34;41,96;;145.258.274,10;9,62;1,12;0,34;11.416.886.009,32
SMLS3;22,40;;10,78;4,09;1,02;85,18;41,42;39,07;10,17;9,93;-0,24;-0,10;4,21;18,78;-2,54;1,10;37,96;9,43;20,63;0,25;0,75;0,24;;;;5,47;2,08;-0,33;2.781.160.547,20
SMTO3;16,98;2,69;6,75;0,77;0,24;26,22;18,77;11,25;4,05;9,32;5,27;1,00;0,76;1,26;-0,35;2,62;11,35;3,57;4,03;0,31;0,69;0,32;11,54;-2,04;42.077.129,52;22,15;2,52;0,13;5.644.752.939,18
SNSY3;10,85;;-0,27;-0,04;0,15;19,10;-3,62;-32,42;-2,44;-9,67;-7,14;;0,09;-0,41;-0,34;0,61;-13,19;-54,35;1,67;-4,12;5,16;1,68;13,80;;0,00;-302,39;-39,88;0,00;87.061.536,80
SNSY5;2,09;;-0,05;-0,01;0,03;19,10;-3,62;-32,42;-0,47;-9,67;-7,14;;0,02;-0,08;-0,07;0,61;-13,19;-54,35;1,67;-4,12;5,16;1,68;13,80;;4.572,67;-302,39;-39,88;0,00;87.061.536,80
SNSY6;11,51;;-0,29;-0,04;0,16;19,10;-3,62;-32,42;-2,59;-9,67;-7,14;;0,09;-0,43;-0,36;0,61;-13,19;-54,35;1,67;-4,12;5,16;1,68;13,80;;;-302,39;-39,88;0,00;87.061.536,80
SOJA3;6,28;4,73;36,14;0,67;0,26;10,86;4,08;0,94;8,34;16,14;7,81;0,62;0,34;0,48;-0,80;4,60;1,84;0,71;1,65;0,39;0,61;0,76;34,83;-18,88;5.653.623,71;9,42;0,17;-0,48;891.148.880,64
SOMA3;5,95;;2,96;0,80;0,49;56,80;-46,46;29,33;-1,87;-2,32;-0,45;0,19;0,87;2,01;-0,84;2,36;27,15;16,44;-47,20;0,61;0,39;0,56;37,72;80,87;99.716.529,00;7,40;2,01;0,01;4.669.246.869,35
